Run_ID,B_cells_naive_CIBERSORT,B_cells_memory_CIBERSORT,Plasma_cells_CIBERSORT,T_cells_CD8_CIBERSORT,T_cells_CD4_naive_CIBERSORT,T_cells_CD4_memory_resting_CIBERSORT,T_cells_CD4_memory_activated_CIBERSORT,T_cells_follicular_helper_CIBERSORT,T_cells_regulatory_(Tregs)_CIBERSORT,T_cells_gamma_delta_CIBERSORT,NK_cells_resting_CIBERSORT,NK_cells_activated_CIBERSORT,Monocytes_CIBERSORT,Macrophages_M0_CIBERSORT,Macrophages_M1_CIBERSORT,Macrophages_M2_CIBERSORT,Dendritic_cells_resting_CIBERSORT,Dendritic_cells_activated_CIBERSORT,Mast_cells_resting_CIBERSORT,Mast_cells_activated_CIBERSORT,Eosinophils_CIBERSORT,Neutrophils_CIBERSORT
Choueiri_p_001,0.0118231386494291,0.053107737814339,0.0112766949221985,0.108712259641,0,0.0939828078334983,0,0.0177941195072322,0.0676075540079805,0,0,0.0422434753470784,0.0920860542258594,0,0.0410108720257908,0.198459914055038,0.00602018049083672,0.00956535043455763,0.0420802035803672,0,0,0.204229637464794
Choueiri_p_002,0.0451030419524876,0,0.00355994264797367,0.0692070188745336,0,0.111575816644883,0,0.00395134440717896,0,0.028610045888707,0,0.0579359596979377,0.0282873451409095,0.00904906528527318,0.0540084097924678,0.510166669408803,0.00607075331084034,0,0.0581038523869555,0,0,0.0143707345610491
Choueiri_p_003,0.0106675591111586,0,0.00515903739375252,0.0312910786111146,0,0.0446770976382602,0.00922973090301596,0.00985228797237075,0,0,0.0168758732592746,0.0168028987517279,0.091464595521928,0,0.195299187428268,0.496809117596145,0,0,0.0486491693477585,0,0,0.0232223664652251
Choueiri_p_004,0.0254683956883787,0,0.000855843253529695,0.0106007422978113,0,0.0173658610965693,0.00263328655253083,0.0147002936313339,0.00555218289466063,0,0.00638908210157958,0.00399954316388439,0,0.252516738545301,0.0373870495436497,0.568276144331298,0,0,0.0273034297256452,0,0,0.0269514071738275
Choueiri_p_005,0,0.0235840025679805,0.0167977477710936,0.376072261135043,0,0,0,0.0272969632745111,0.04529313683527,0.117774187671547,0,0.0519370805056075,0.0245219224302212,0,0.0759569164745816,0.231239016418004,0,0,0,0.00589003703500794,0,0.00363672788113189
Choueiri_p_006,0.0222950097167363,0,0.0697450289135934,0.302300347804453,0,0.0188350349549243,0,0.0784870127921054,0.0336439013874035,0.134068655337099,0,0.0698063237485336,0,0.0116513936774996,0.0587636006597194,0.133416153710619,0.0191885835937512,0,0.040811799472309,0,0,0.00698715423125428
Choueiri_p_007,0.0182231564149787,0,0,0.0232927722593247,0,0.0386270568229788,0,0.0106391903430282,0.00274773105103188,0,0.0282677133523446,0.00313994802145561,0.0323162557901649,0.0501035317266979,0.0608511708573343,0.670559624593238,0,0,0.0361593032261831,0,0,0.0250725455412389
Choueiri_p_008,0,0.0296768074910507,0.0047646301993872,0.0146135667456166,0,0.0722266965745962,0,0.0217732830157371,0,0.0142621811605296,0,0.0771894243810565,0.0617115393810441,0,0.0591811882996916,0.245564100980753,0.137212581116361,0,0,0.0416218790077303,0.0641441264710972,0.156057995175349
Choueiri_p_009,0.00971198739634943,0,0.0244346642238886,0.145305652902485,0,0.0625647117032666,0.0248121808507773,0.0245180767460286,0,0.0135232026075762,0,0.0663103429203699,0.0559199109833985,0.00741153312353327,0.0760031840356343,0.444654409401202,0.0066884653024895,0,0,0.00589748052554629,0,0.0322441972774535
Choueiri_p_010,0.00218212894205983,0,0.000132873654875442,0.127780115805764,0,0.127433291945092,0,0,0.0384979185746705,0.017897553469633,0,0,0,0.192850209895695,0.0538596177084306,0.406625495106883,0,0,0.0327407948968961,0,0,0
