Reactome_ID	pathway	CI
R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	0.609469342142024
R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	0.608338674423573
R-HSA-389948	PD-1 signaling	0.608157899061612
R-HSA-388841	Costimulation by the CD28 family	0.607290177324196
R-HSA-202433	Generation of second messenger molecules	0.604397771532811
R-HSA-202403	TCR signaling	0.596591562720834
R-HSA-9706374	FLT3 signaling through SRC family kinases	0.596022942036845
R-HSA-9020958	Interleukin-21 signaling	0.59562523624053
R-HSA-8949275	RUNX3 Regulates Immune Response and Cell Migration	0.595303127413762
R-HSA-9732724	IFNG signaling activates MAPKs	0.593327745731236
R-HSA-2424491	DAP12 signaling	0.592762411872011
R-HSA-451927	Interleukin-2 family signaling	0.592016302650824
R-HSA-164944	Nef and signal transduction	0.591835527288863
R-HSA-8983432	Interleukin-15 signaling	0.591503557987806
R-HSA-9020558	Interleukin-2 signaling	0.591247185656297
R-HSA-202424	Downstream TCR signaling	0.591214317408667
R-HSA-9706369	Negative regulation of FLT3	0.589689230718664
R-HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	0.589268517149008
R-HSA-8984722	Interleukin-35 Signalling	0.587332577363638
R-HSA-389359	CD28 dependent Vav1 pathway	0.585975118736545
R-HSA-9607240	FLT3 Signaling	0.584522342191326
R-HSA-9645135	STAT5 Activation	0.58445989252083
R-HSA-1280218	Adaptive Immune System	0.583421255895742
R-HSA-912526	Interleukin receptor SHC signaling	0.58158392085326
R-HSA-389513	CTLA4 inhibitory signaling	0.581127052211211
R-HSA-9020933	Interleukin-23 signaling	0.580486121382438
R-HSA-8985947	Interleukin-9 signaling	0.580233035875692
R-HSA-877300	Interferon gamma signaling	0.579582244572631
R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	0.578707949185689
R-HSA-844456	The NLRP3 inflammasome	0.578421995431314
R-HSA-389357	CD28 dependent PI3K/Akt signaling	0.577840227448274
R-HSA-164952	The role of Nef in HIV-1 replication and disease pathogenesis	0.577728475406334
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.577610149714868
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	0.577593715591053
R-HSA-9006335	Signaling by Erythropoietin	0.577557560518661
R-HSA-5357956	TNFR1-induced NF-kappa-B signaling pathway	0.577205870269027
R-HSA-389356	CD28 co-stimulation	0.575986458281977
R-HSA-622312	Inflammasomes	0.57468158885109
R-HSA-2172127	DAP12 interactions	0.574582984108202
R-HSA-877312	Regulation of IFNG signaling	0.574145836414732
R-HSA-9706377	FLT3 signaling by CBL mutants	0.572242764876991
R-HSA-5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	0.571654423244425
R-HSA-75157	FasL/ CD95L signaling	0.570960903219445
R-HSA-9683610	Maturation of nucleoprotein	0.570674949465069
R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	0.569698762510477
R-HSA-983705	Signaling by the B Cell Receptor (BCR)	0.569583723643774
