	CCL5	CD2	CD247	CD27	CD3E	CD3G	CD8A	CXCL10	CXCL13	CXCL9	CXCR2P1	EOMES	FASLG	FCRL3	GBP1	GBP4	GBP5	GPR174	GZMH	HLA-DMA	HLA-F	IDO1	IFNG	IL2RB	IRF1	ITGB7	KLRK1	LAG3	LCK	MAP4K1	PLA2G2D	PRF1	PYHIN1	SLAMF7	TBX21	THEMIS	TIGIT	TRAT1	UBASH3A	MTOR	CHUK	AKT1	RPS27A	UBA52	UBC	UBB	HLA-DQA1	HLA-DRB1	HLA-DQA2	HLA-DQB1	HLA-DRB5	HLA-DRA	HLA-DPA1	HLA-DPB1	ZAP70	CD3D	FYN	GRB2	PSMD4	PSMC4	PSMD8	PSMA3	PSME2	PSMD7	PSMA2	PSMB7	PSMC1	PSMA6	PSMD11	PSMB1	PSMD3	PSMB6	PSMA5	PSMB4	PSME3	PSMD1	PSMD2	PSMC5	PSMA8	PSMF1	PSMD12	PSMB10	PSMB5	PSMA7	PSMB2	PSMB9	PSMB8	PSME1	PSME4	PSMB11	PSMD14	PSMC2	PSMD13	PSMA1	PSMD6	PSMC3	PSMB3	PSMC6	PLCG1	GRAP2	SRC	WAS	LAT	ITK	NCK1	LYN	VAV1	PLCG2	PTPN6	PTPRC	PSMD5	PSMD10	PSMD9	PTPN11	TAB2	MAP3K7	IKBKB	TRAF6	IKBKG	NFKBIA	NFKB1	RELA	RIPK2	CD80	CD86	CD274	VASP	SEM1	SKP1	CUL1	PIK3R2	FBXW11	RICTOR	BTRC	UBE2D1	UBE2D2	RAC1	PTEN	CDC42	UBE2N	UBE2V1	PAG1	PTPN22	PIK3R1	PIK3R3	PIK3CA	PIK3CB	EVL	MAP3K8	PAK1	PAK2	PAK3	THEM4	ENAH	ICOS	CD28	MAP3K14	CTLA4	MAPKAP1	MLST8	TNFRSF14	PRR5	INPP5D	AKT2	CARD11	BCL10	PDCD1	PDCD1LG2	ICOSLG	YES1	TRIB3	MALT1	HLA-DQB2	AKT3	CD4	PSMA4	LCP2	CDC34	CSK	PRKCQ	BTLA	PDPK1
Choueiri_p_001	297.985628	50.30528167	29.50889383	21.59699033	47.31755572	5.316855558	22.73750114	230.319657	16.29668348	51.53701674	21.04880374	3.421366209	6.81872423	2.102122148	109.8136896	32.13059659	47.59249133	1.894894041	11.201548	256.1682338	164.1269195	14.76560313	1.888050153	23.17807166	67.60049217	14.99032259	8.288149828	13.3229727	28.1691141	7.411159368	1.259260547	28.49904758	3.031064434	19.20565213	1.676198363	2.249358778	6.637963515	5.746634013	1.708096424	7.430236145	6.514073689	25.81083889	1260.139535	1165.698693	1192.994104	1203.131881	930.6745637	1337.871655	1.605965442	629.6334306	92.16463858	2964.243022	1171.747939	643.948702	6.64983465	55.27272418	16.76861353	86.64018732	116.2308226	61.66091688	132.334399	81.75139997	288.6450225	73.72098301	123.7346736	97.24540137	71.20547305	138.0274429	38.3637134	182.6006739	52.25456866	185.752601	57.14396455	267.6299391	31.15665543	29.16217753	76.11976019	85.37836933	0.290432358	61.11325551	15.53008291	119.9521119	75.66659744	192.4830426	57.34639642	141.9583186	253.2465612	340.8343933	13.18327675	0	49.61746548	53.22728263	89.54218907	130.5996716	32.23240661	104.9817272	188.8541314	48.24488609	11.434463	10.09726359	21.13585807	31.93188799	11.54989293	6.468831677	27.81271345	39.49062995	16.87889373	8.592010614	79.57725432	70.67825702	6.312220607	42.47838501	61.07370805	25.1419832	19.14799137	4.862622682	9.309236956	3.59639505	12.97633262	39.9503158	17.69081468	34.78353431	17.07081367	2.473454966	33.42900497	2.503320727	62.03337537	145.2768839	398.1218212	19.43640833	5.880939837	17.54335515	2.903638091	2.894973094	12.28160825	68.50770292	168.2764131	22.09700472	213.0589222	46.24208528	58.44646298	3.192147341	4.792340595	42.57924265	3.623667481	5.313581194	16.9579804	34.29746728	4.472470734	40.30392127	24.7318126	0.527733352	7.964193668	6.724313801	4.661273694	4.402674719	12.75891241	2.99631079	24.42636565	22.82972533	36.06432596	5.586621621	25.65615271	39.2574526	7.194921864	7.072836422	3.897361251	5.040768839	1.950391739	9.52555909	72.71079677	7.739496352	4.134589172	2.704474662	53.78369908	147.6759679	55.54329799	26.80393228	59.52015841	5.727976747	1.509532863	12.29671341
Choueiri_p_002	18.4722812	2.920612667	2.356634366	0.742999617	4.078036108	0.669882307	1.96365074	10.60490142	2.668673263	6.720428928	4.000055284	0.433443224	0.271315324	0.117321681	17.70436474	8.143018739	4.245056947	0.257509771	2.758802331	49.96103872	59.189673	1.307893355	0.224664721	2.454960531	14.0206095	1.76198001	1.672234853	0.685403156	1.839558636	1.000809078	0.387318699	2.073127878	0.576287274	2.230751606	0.294925721	0.309747274	0.241756439	0.208026526	0.155491034	6.488839613	6.358633155	36.69335729	902.9259949	619.017924	789.5548209	1805.950461	60.02076896	147.9585925	24.44713305	17.35439902	30.45039528	1010.752105	361.7337933	189.8391957	0.57861787	2.949677931	22.48244845	30.55001698	83.21981598	32.26144744	111.9072329	71.70028007	111.9512484	60.84644154	151.8801938	108.7240673	77.33965287	131.2966971	17.93281823	191.4915279	30.19685665	141.876	40.37879709	171.0885905	21.26928226	24.35697419	44.61515663	59.27629103	0	51.09150042	15.56265629	37.60531038	102.8006042	109.8199027	27.80158268	28.96421861	78.22383577	163.9202297	9.668153619	0	32.7103651	56.27295002	51.42469515	79.99250524	34.7652156	92.0675716	128.8686202	49.56683005	9.113478828	0.626764365	3.879266363	2.707666318	0.319280109	0.603524795	13.89798465	6.227517901	2.573279609	7.483814856	13.02959228	8.123478302	10.02836591	34.64963867	28.35325691	22.41270833	15.49607862	3.144161719	5.647549824	2.687691847	8.604537389	28.98633077	6.340480402	18.67432358	3.353160683	0.099404084	4.416466467	1.018199806	17.50208335	97.02956129	284.7272525	13.00921632	5.4147318	12.78840979	2.294572425	3.010947705	4.543319034	56.39430272	95.08000356	17.76295055	120.6956002	35.26696571	41.9260489	2.775387187	0.607282659	48.47212336	8.387659143	4.004714026	8.69628241	11.26807541	1.131734537	9.063440707	13.23339252	0.029812511	3.032663408	7.759499745	0	0.359466174	3.086960034	0.108991078	15.62480442	10.11200559	13.72664669	4.130484629	3.3185094	54.25954719	0.533095267	3.162623483	0.155690402	3.154747191	1.483457011	16.32089054	18.20719363	4.077660245	4.445050385	3.667935056	45.98567897	98.34641484	12.18182994	17.13673454	18.20968622	0.265260622	0.052220533	7.247589227
Choueiri_p_003	61.36429465	8.246557821	3.611031233	2.658114479	8.485183567	1.168987269	6.759560168	222.015969	13.17863904	66.76955942	3.481060854	0.472854903	1.560673562	0.183625686	104.772815	22.79515164	30.7460451	0.500819764	3.566799008	120.1314886	146.2357313	9.35105036	0.703266667	8.704618059	73.81079604	4.359366064	3.238598341	5.608266583	4.372035768	4.215074851	1.194346887	3.443267295	0.984059538	7.144944884	0.634068862	0.383391338	2.132303189	0.644028349	0.373198359	10.34216136	20.32825844	57.85088269	2228.021366	1427.178478	2488.16025	1291.63286	219.049543	516.0342523	22.91571837	353.4812817	79.77033989	1404.932882	587.2107123	236.500441	1.374744942	7.614275301	19.01131455	99.07724415	188.7302537	129.4395222	268.2745382	101.0447794	328.7099638	111.9384398	153.5987426	117.6554039	107.6615616	245.2830346	77.22544036	212.7554527	95.13212963	245.8879038	76.7768351	536.1292134	63.84880566	86.26949234	213.4175373	201.0048094	0.040464481	118.7740196	50.20661823	77.95017126	193.1838935	248.2033127	56.62298238	175.4068211	273.0450105	508.6897211	10.20536069	0	93.06762484	99.48355597	159.8553832	223.6630244	38.02580556	190.0406902	230.4948856	77.42101825	32.74525819	0.725547144	42.3584392	9.368739261	73.77995277	0.806926768	34.80134934	29.29079371	12.17357208	6.458083352	37.19269971	31.50421635	10.90403937	52.86155758	57.2537536	46.8230309	39.75884354	9.771930041	10.01547735	5.966908518	19.92007428	59.59110314	17.83050285	76.44667417	52.87788312	2.334655779	24.56280221	8.952825424	38.57351814	179.5692734	423.0059507	34.64470179	19.28947193	26.14939703	7.603091681	9.464847754	16.27343428	83.53024111	245.172195	22.44939512	221.1745482	53.4997246	102.9559687	3.493891759	2.865196793	15.48151602	8.095781111	11.53041509	28.93743413	22.54181384	10.04561179	42.62594685	45.39326007	0.10050054	10.55801685	23.7012424	0.871832631	2.376924722	14.30434225	1.607455057	38.0152098	26.4494258	94.5300783	4.676730222	14.03364828	67.1237743	12.4077864	16.12662605	0.968465351	7.488624414	1.777827041	8.775510811	118.7268566	10.96019375	3.680995752	51.0671922	78.42891817	179.7833466	44.01760762	31.87544848	42.45427917	0.815850655	0.356271245	13.03588253
Choueiri_p_004	18.93004032	9.12112624	4.100119765	0.799919449	3.836668128	0.802149708	2.014971601	35.59811743	1.93164256	40.03798198	0.397882427	1.02942971	0.459787495	0.286301485	43.96076519	12.62240586	11.99972559	0.513599537	2.070592393	312.8819964	56.7282569	4.573787704	0.548251976	7.159417874	34.10482199	6.99291528	1.663789363	0.643984284	5.08267354	1.861164745	0.559825071	6.318862478	0.954971123	10.47034782	0.257039544	0.391472822	0.453816229	0.271955138	0.28733402	11.26624973	18.15604183	75.82840623	1425.565977	789.6101678	1879.497694	1517.328548	682.571054	875.2499885	44.48101601	338.8669607	119.4140855	4042.603635	1474.389088	602.1834218	0.985403843	4.262052984	60.22270173	105.5532031	155.7799799	75.17151292	194.5938041	118.9469893	280.9969468	114.0054132	136.1126779	93.61912566	128.0889882	167.6271174	65.91361499	277.1572483	66.98393508	213.9249133	51.44996434	392.5138526	76.62837548	87.64925467	138.423778	124.885215	0	93.48399661	46.62028544	49.04655872	258.0578575	186.2807895	42.59159041	52.58033039	177.3162373	350.4767094	24.77257128	0	89.0860098	93.15950349	121.809615	188.5861872	59.69728407	165.0189289	193.1574872	91.99912829	44.1108512	1.094146154	24.00273588	8.685801463	1.547249335	0.667013941	54.73267036	39.24604945	12.1320194	9.832672835	36.08223556	46.51639247	25.72889785	80.19786608	43.21313888	50.99454076	39.27675686	20.54255548	13.34862245	10.0039389	16.41687543	74.1447458	23.7627861	43.72467177	14.92049345	0.970307845	19.324091	5.746675608	81.95736173	119.3896004	817.116598	32.68558073	8.018934744	76.45920022	8.633356153	6.663079393	23.95977744	94.48511186	242.0781049	51.15016654	291.9435407	90.18541872	86.86583686	11.97291943	1.518560695	184.5240188	43.41984296	17.7178272	21.71751851	30.67193663	19.41758365	42.87268595	47.12157161	0.973027445	15.54045589	50.20114597	0.69422667	9.254476025	9.656425566	0.249348952	39.021496	33.99124364	43.18381533	7.103980201	14.85081719	70.28028513	1.871648492	12.31493431	0.474916411	6.074223858	1.27640447	27.57144603	45.21366671	14.40043811	8.21521399	51.05555725	93.57157872	192.1161201	70.20000653	26.97286829	41.82910575	1.172846565	0.15929298	18.29880237
Choueiri_p_005	402.1142959	102.1337031	24.23885315	60.75966385	93.0599692	24.18033234	114.3128939	183.6298591	23.62372733	225.6451538	57.36154361	20.21560159	12.67096895	2.342815746	175.8391747	102.2356137	128.9365267	9.739668901	21.03808309	808.0760921	216.4880683	53.71099344	10.79207217	29.35494593	100.7305132	21.21784975	25.45377291	27.04798303	33.47449226	11.34909848	42.06703964	30.82654098	12.76649781	78.58678456	1.503589439	10.32090497	21.11225741	10.32926189	3.122141715	10.11371572	14.93233006	44.10830052	1739.136199	888.2070993	2103.763122	1676.609682	3784.137	3522.752267	19.11214392	1960.857181	2572.08216	10176.49703	3624.70481	1989.02619	4.110903112	123.5016206	28.71858626	113.8533258	112.6276212	66.53611507	155.2335842	131.0948196	460.6649414	104.4844113	175.7121053	135.3457765	119.2579749	215.6432982	54.38427765	232.8408136	52.22720681	218.7527922	70.08853233	320.8753305	54.96099664	67.12491726	137.9614079	112.5657101	0.228463868	62.56829806	24.40682958	129.5032792	131.3357998	193.9128137	36.05686164	183.2692796	340.5146041	534.4190801	20.29416198	0	78.87317362	106.9588823	108.3096703	173.5536399	64.5602366	167.3089275	184.4131594	94.35399629	15.92209603	4.936644789	29.04932072	23.76244594	9.765300851	9.634644604	84.85753883	46.5752326	20.17839842	9.959201591	60.32183175	130.7535928	19.78620209	63.22832897	47.13043911	48.79969266	27.72827146	10.32043498	8.54912022	7.368747584	12.32183439	122.5241467	29.0980451	30.38687828	18.70143798	2.229839069	55.18671427	5.779042901	36.54951327	142.4234596	690.6207486	40.88574355	1.881559946	50.04968952	8.886627216	7.141409826	19.97306229	91.26394862	272.1748089	27.70595252	320.1156057	73.97013378	86.90290614	13.85240366	9.174586062	55.40871553	10.60641111	14.26535166	98.78676993	45.80315703	8.986561001	58.15838015	59.34757037	2.152629685	6.581683758	20.69146606	7.571115945	4.817976501	14.40648159	4.41439403	37.20955527	25.7990141	91.80596585	2.775053195	26.28802508	53.62631571	4.505529696	8.952567039	7.672823358	10.72234853	3.391363007	32.91483455	25.62748139	24.54593967	33.44823795	21.4405574	131.0949709	178.4817274	96.62844116	10.61077367	49.66078462	3.636330587	4.085787633	22.55138438
Choueiri_p_006	487.6620581	117.0166837	37.18817385	108.1473981	95.95132312	17.11991746	117.2163207	145.6625667	140.6899155	233.3460642	35.82675026	18.02562859	11.26337396	7.056012117	127.4555394	74.47511619	68.32244913	3.198469486	55.74743301	527.6171284	297.9714189	49.87963365	6.962506898	26.48803853	115.9950753	25.31647552	18.76389682	39.49675909	37.72047615	15.48619271	17.4982167	57.54569644	9.434859609	58.95420373	1.982964569	5.992547492	13.71993758	10.9121962	4.305523768	8.001187199	9.807115656	40.61263524	2906.708562	1485.081593	1526.942077	1640.784122	1770.298806	2090.408193	49.24446302	1034.639639	83.36430716	6373.122966	2806.025972	2124.651086	6.993476299	224.3122735	21.57135945	83.63932033	142.1162328	75.77185152	224.8036063	110.4842381	478.4733494	91.3977843	308.6729892	124.8697512	118.8912039	248.8688693	40.87069444	249.1434892	65.99994308	253.6980476	93.75406733	418.6277058	30.94782957	45.5503856	90.58649348	117.3050858	0	68.60297703	22.52982568	202.9479268	156.2467457	264.81358	48.72488217	246.7371124	296.5064219	504.5670116	21.92764702	0	64.60635605	132.7977385	124.0533499	182.984067	44.21142457	144.384196	245.3385193	47.46205532	22.74360787	2.318439016	21.37509489	18.86555637	43.89673712	6.599150292	29.33151828	20.75140899	22.35437658	6.45575525	55.42042371	49.68931263	8.440442905	50.35872372	80.68544922	25.38579022	17.35328167	5.962355949	8.381509385	3.447864727	11.30030535	109.2758204	21.64097836	40.04281656	16.81514361	2.995630442	42.53687865	3.755672791	66.57572765	276.5663523	383.7036409	28.0073981	5.018003232	13.12818987	2.655031624	3.84647086	26.22729652	81.76204599	234.0870603	23.91364781	239.6267195	72.81423624	67.91219176	5.170697382	4.147025352	8.210931045	13.90639347	7.021208655	15.80668201	50.28296339	8.100143388	43.00782218	24.01608201	0.225357372	5.938536117	9.838008252	3.036712807	2.03634723	24.2807761	3.945916938	34.24866181	29.41005259	167.6942764	4.242045425	24.12959907	42.00341855	11.457423	9.569419348	22.28344159	8.81315356	1.226764029	8.864462703	57.12696635	13.15270415	55.3534423	22.24405014	111.7149887	215.1854379	62.83076066	32.10389209	52.73596087	3.021902966	3.286946243	12.12175096
Choueiri_p_007	6.222815578	1.095641675	1.319901069	0.20510517	2.179707261	0.21247574	1.084142148	7.174898867	0.950224007	14.1544358	0.142718673	0.043777554	0.410894816	0.07702131	18.37224821	13.80851222	1.669362406	0.130041805	1.978135372	111.4887728	66.45525062	0.833294622	0	2.444076728	18.99210491	1.023933608	0.226665506	0.289250881	1.286891485	0.342232386	0	2.872105554	0.189844909	0.772532689	0.193617798	0	0.537180207	0	0.11340471	12.81727721	5.212468092	93.79476398	2677.043588	1440.802088	1304.607085	1306.869385	138.5669802	583.0683095	3.132063093	150.0852596	223.6482971	1019.549696	485.2240768	301.4863978	0.316381728	1.63069826	54.41752097	48.99336309	149.8543144	58.38236308	182.9188875	101.9585588	150.8767497	78.56289382	157.4987541	129.0999066	155.0642048	213.869529	36.04348975	234.6824054	74.70100919	234.7805265	60.72663089	351.8839333	36.03253381	36.69293974	90.61043891	112.1825467	0.044129072	51.59173511	18.01790896	61.7397895	251.0324288	229.6249324	47.77198293	47.57992135	144.1359907	285.6768433	16.03797909	0	61.53886573	56.23653842	104.8832296	141.8690935	64.2716039	162.8102955	205.7195719	84.73247458	34.58520348	0.091807977	7.671584326	5.195287415	1.888101841	0.063506638	26.18678858	13.11673302	2.433098274	9.320095521	23.47335496	5.621800517	10.99700389	68.75667634	50.11413755	26.88434881	24.08165846	12.0261043	8.471214788	3.406887481	11.08810922	61.83176422	16.73163353	44.66332408	6.064959028	0.13051693	7.553682398	0.373542758	59.06570464	201.0194959	571.0578281	22.95334315	16.39344935	16.13152501	2.663618948	6.781211974	13.36450217	99.79352692	238.25846	62.97232408	188.5672142	71.37483461	83.7591225	2.287953656	0.772039661	28.08748662	29.53888306	8.892231391	23.04299195	41.80938967	8.528783276	12.18330877	23.14775052	0.078287275	5.148249735	17.15015577	0.028261459	2.799292009	4.90331754	0.214656888	29.0921789	29.49849344	28.29086416	5.759024326	11.26149032	34.40884257	0.483299291	12.45347606	0.490789767	1.615737341	3.243188263	22.62124843	43.30564446	18.46694119	3.406368724	13.56961863	26.00087326	154.0218174	15.38545778	33.66226875	31.85950336	14.31775678	0.417852249	7.896339674
Choueiri_p_008	12.43981272	13.67838187	3.02928047	0.695350059	1.282569511	2.018724123	2.63371087	192.8341555	20.54206896	15.80575719	0.094327987	0.385455837	1.090041329	0.015816114	17.76018601	2.928239756	4.253559981	0.193386109	1.681644956	70.91303163	36.31575622	6.43731496	1.917158568	0.390188319	10.89845214	3.204921394	2.83662302	0.354030517	1.424838374	0.392936589	2.959293266	2.183072884	0.580010898	17.47146693	0.076172071	0.861221451	1.887052922	1.373879049	0.128596379	1.580070345	4.186455118	1.954072649	4756.006396	925.1577873	155.8363346	1056.146362	46.88863869	395.9471796	4.178250351	15.12322161	199.2611009	4899.376153	197.0367086	232.1519647	0.132111963	30.79452884	0.832648513	31.92481566	73.12905384	41.08261126	310.2240713	144.9763979	371.1061915	31.42840997	368.7292303	161.7339782	62.1559324	559.4231478	10.42275095	288.3895135	17.88290091	123.5388979	189.9112889	649.0070196	12.95640373	11.03380863	26.29804475	27.57920534	0	8.553726011	12.40207274	94.78757406	160.5755611	482.586655	22.17242336	165.5786121	212.4744143	549.7900163	6.723127808	0	104.432156	76.6320391	239.6821127	217.0078125	32.56859244	98.53264141	327.3916279	122.2268478	0.76285869	0.756251774	1.654400061	1.597064861	15.42279249	0.443057391	72.98413628	12.54216485	1.781017917	1.719176657	13.2953303	10.17258294	6.552595971	103.2411525	57.8520077	2.734382943	9.94996451	2.975658122	5.392906162	0.669654391	2.501731773	29.46539245	1.693337309	9.046069922	7.568182659	1.38415766	23.93475975	5.414545192	16.79459186	203.6587524	831.1464154	11.96975271	1.283275936	3.414551375	1.118878492	0.171031894	13.54404672	127.421523	93.19909721	5.137797546	322.4682153	110.4622693	15.8638344	0.527407934	1.112766892	3.607536471	0.21095689	2.717061176	4.520237151	4.078347121	9.895829005	8.407610663	6.929122303	0.030183371	8.803659242	1.900307266	0.778032541	1.531715066	4.455196928	0.906420947	21.1967713	20.55397887	18.7101368	1.098971212	1.818265867	4.680932674	0.761859303	6.880165195	0.131355958	3.138978389	0.295384357	0.967776702	15.8256803	2.436487441	2.368139879	2.827714699	5.893874079	214.7390022	5.55119819	22.67178098	5.665672159	0.089520131	2.51066219	1.579133173
Choueiri_p_009	121.1637976	60.05724986	14.46354035	19.22318157	36.81283395	8.551455771	29.39275245	267.0114805	24.63689771	415.0644756	5.251431623	4.077617086	6.551149577	0.820615987	194.0424281	54.43659957	77.79932521	2.355539146	24.51407969	434.8610841	182.2228224	22.01876853	2.221112351	14.07774173	137.2200408	7.417737534	10.32491402	8.261824207	18.41574181	7.013167791	6.321488325	10.51218007	4.914424867	70.00075827	2.593512381	4.23838599	4.596321013	4.098481189	1.31652108	14.87865086	12.1914394	68.04439914	1355.379715	776.9429927	2777.663292	1082.656593	1811.534674	2347.481656	182.1429747	1041.785481	1163.620147	7996.441959	3674.492585	1466.859892	3.554453212	43.69051193	31.88034601	108.5645233	168.1675115	79.6902433	157.1308099	119.0883406	354.5897269	120.4769655	214.3668845	132.0373065	185.8564219	198.9809157	49.57932938	253.4064451	60.2293207	162.148467	69.38639145	395.7444123	49.17818064	73.72107582	154.0211556	104.9225327	0	76.73714629	31.3662412	114.8426646	145.7957116	216.3833281	50.18756575	136.023603	184.1787408	414.2732088	25.66635314	0	79.49122829	124.6679422	136.4568226	188.102602	50.08468581	168.9782302	147.9975237	86.19879599	33.23480137	5.344746628	32.20001042	21.05078821	29.56757749	4.298531745	38.75585448	46.20217817	24.91345698	8.886084915	55.12682551	84.91649667	16.40805212	89.31780446	47.96849109	39.94033413	35.34245479	11.70454417	12.97642144	5.598544832	21.95329553	107.1623118	33.98304982	44.15580332	28.70962446	2.954795181	55.25927821	8.16055954	67.65439614	254.0975417	531.877948	53.26756205	3.252702957	21.9723696	3.769141703	6.797457326	22.70359102	94.03067032	308.2316496	37.61984578	295.1627339	66.11770243	87.3923961	9.088199851	5.791314248	26.29759101	18.24246558	12.93366338	24.46649755	42.03238462	9.563568665	42.09869187	42.49998445	1.609630469	6.387325214	28.19756756	2.624351243	1.913483856	13.51816121	1.795704554	47.90262123	18.99756281	46.9918676	2.750625531	28.09856502	47.15215247	8.440488641	11.90412512	2.75895884	15.9429465	3.716217386	20.30543682	25.62951814	15.14656959	39.6447063	11.4692414	166.4389742	248.6957928	88.31524566	16.33959572	66.17320511	9.149264504	1.857572278	13.35616803
Choueiri_p_010	51.52432346	31.08200871	8.932797928	10.25499926	23.92649864	5.595681579	13.59645978	30.24372965	1.600350471	42.21518485	1.089651334	4.275441118	1.822116488	0.988274404	46.80931394	12.18742718	15.49070887	2.40915519	10.20555112	295.7411432	110.6372243	1.983844675	0.596166892	7.397356236	68.31743177	18.62050992	5.446671379	3.138493909	14.88007455	6.808638547	1.305982956	3.508713821	1.811853286	10.06295831	0.310559688	2.265873867	2.562962191	3.502836754	2.142933213	12.56024444	13.56715992	114.8740644	1328.67269	891.118097	3067.699345	1688.427994	749.5369979	996.8150829	9.756612931	371.0392877	94.96938547	2660.307845	1096.979917	488.5309508	7.370011155	19.68248443	59.14261157	97.51435872	176.3725587	96.73351448	209.3493415	136.825907	203.4015445	112.7389827	113.0949871	169.8168252	173.0342639	207.9742767	56.96262799	211.2739187	82.27386477	217.4706154	39.82737985	363.4289496	56.88404135	66.872849	117.8247261	162.3494915	0	112.3637244	40.89157321	65.16002665	182.3375973	210.9794239	34.02562701	46.87747967	117.9462556	387.9592914	20.46856525	0	68.25581458	78.37131486	116.1854411	150.2591576	44.20869056	190.1173016	176.973623	142.2326053	88.30843714	3.491211367	63.86818962	7.555006888	10.53786357	2.303116242	45.92165085	12.26503153	8.737457145	10.24632533	40.50517575	34.74316978	28.59989842	57.4235683	81.84114728	48.06411237	22.83923665	17.06443156	35.83421769	11.03201875	19.99397109	108.6963047	25.13012708	53.23886263	9.697353554	1.377502983	11.63219124	9.410109155	54.50550697	144.4580624	807.2039028	35.77004623	15.23280446	44.31925461	13.18021113	6.324122516	15.51686776	102.7507752	238.4818673	51.98842157	171.3904575	75.91745478	114.899401	17.8506556	4.655434482	221.8298261	16.00745438	10.7429212	34.52422046	222.7033192	10.24561019	51.56871403	42.3758871	0.536190183	20.88187515	49.05738056	1.195554364	5.073035951	34.78926774	1.365747266	45.10739633	45.52518034	127.4682849	16.01068545	13.27930209	116.0658739	9.55185055	13.88790584	2.103941919	2.836640951	4.267508156	21.85152272	143.4169894	16.32424258	12.05675292	52.09499636	49.89476367	169.7798189	40.26586756	28.5493091	57.46867416	11.99470711	0.510328604	33.07446639
