pathway	pval	padj	ES	NES	nMoreExtreme	size	Reactome_ID
Translocation of ZAP-70 to Immunological synapse	0.00403225806451613	0.0498878284345412	0.927789303826648	2.25561292207972	0	24	R-HSA-202430
PD-1 signaling	0.0043859649122807	0.0498878284345412	0.925585901588721	2.25784233543405	0	28	R-HSA-389948
Phosphorylation of CD3 and TCR zeta chains	0.00431034482758621	0.0498878284345412	0.920600391381051	2.23997328048041	0	27	R-HSA-202427
CD22 mediated BCR regulation	0.0065359477124183	0.0498878284345412	0.915683196757788	2.66640577510187	0	67	R-HSA-5690714
Classical antibody-mediated complement activation	0.0078740157480315	0.0498878284345412	0.90544210516646	2.75836225729657	0	85	R-HSA-173623
Creation of C4 and C2 activators	0.00813008130081301	0.0498878284345412	0.893872371920013	2.76689084726207	0	93	R-HSA-166786
FCGR activation	0.0078740157480315	0.0498878284345412	0.88745613571525	2.74042710883809	0	91	R-HSA-2029481
Generation of second messenger molecules	0.00485436893203883	0.0498878284345412	0.886578542976067	2.31389844340071	0	38	R-HSA-202433
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	0.00793650793650794	0.0498878284345412	0.876141275229981	2.70836979621546	0	92	R-HSA-983695
Role of phospholipids in phagocytosis	0.00884955752212389	0.0511481033877821	0.873193571968098	2.76476378918973	0	104	R-HSA-2029485
Initial triggering of complement	0.00833333333333333	0.0498878284345412	0.862781295319225	2.72645007293438	0	101	R-HSA-166663
Role of LAT2/NTAL/LAB on calcium mobilization	0.00793650793650794	0.0498878284345412	0.861615489800677	2.66346699385324	0	92	R-HSA-2730905
Scavenging of heme from plasma	0.00775193798449612	0.0498878284345412	0.857495127517629	2.64704351695853	0	89	R-HSA-2168880
FCERI mediated Ca+2 mobilization	0.0099009900990099	0.0536780950822355	0.844429056442966	2.67376182686757	0	107	R-HSA-2871809
FCGR3A-mediated IL10 synthesis	0.0117647058823529	0.0563864534983669	0.839773994107049	2.68796862012843	0	117	R-HSA-9664323
DNA methylation	0.0045662100456621	0.0498878284345412	0.831777496678328	2.04373499227404	0	29	R-HSA-5334118
RNA Polymerase I Promoter Opening	0.00431034482758621	0.0498878284345412	0.825442221942335	2.00843768810206	0	27	R-HSA-73728
Regulation of Complement cascade	0.0112359550561798	0.0556285774856901	0.819030921361947	2.61428859042133	0	125	R-HSA-977606
Impaired BRCA2 binding to PALB2	0.00403225806451613	0.0498878284345412	0.817508322261832	1.98750117941222	0	24	R-HSA-9709603
Regulation of actin dynamics for phagocytic cup formation	0.0126582278481013	0.0591017613406009	0.816924542855828	2.68980230295388	0	140	R-HSA-2029482
MyD88 deficiency (TLR2/4)	0.00364963503649635	0.0498878284345412	0.815688573611061	1.82146621094109	0	17	R-HSA-5602498
Complement cascade	0.0114942528735632	0.0562703722765483	0.813992251286237	2.67391429906963	0	136	R-HSA-166658
IRAK4 deficiency (TLR2/4)	0.0036231884057971	0.0498878284345412	0.813845480528536	1.84987195541505	0	18	R-HSA-5603041
FCERI mediated MAPK activation	0.0102040816326531	0.0546438983756768	0.81330307467506	2.5876299051209	0	108	R-HSA-2871796
Polo-like kinase mediated events	0.00701754385964912	0.0498878284345412	0.810743668827568	1.80649409404776	1	16	R-HSA-156711
FCGR3A-mediated phagocytosis	0.0119047619047619	0.0563864534983669	0.809167532771439	2.67287986187007	0	138	R-HSA-9664422
Leishmania phagocytosis	0.0119047619047619	0.0563864534983669	0.809167532771439	2.67287986187007	0	138	R-HSA-9664417
Parasite infection	0.0119047619047619	0.0563864534983669	0.809167532771439	2.67287986187007	0	138	R-HSA-9664407
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	0.00431034482758621	0.0498878284345412	0.808760671808971	1.96784871277078	0	27	R-HSA-5693554
Assembly of the ORC complex at the origin of replication	0.00467289719626168	0.0498878284345412	0.807041550729354	2.01436694107033	0	33	R-HSA-68616
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	0.004149377593361	0.0498878284345412	0.80427448332993	1.95548586145001	0	25	R-HSA-9704331
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	0.004149377593361	0.0498878284345412	0.80427448332993	1.95548586145001	0	25	R-HSA-9704646
Defective homologous recombination repair (HRR) due to BRCA1 loss of function	0.004149377593361	0.0498878284345412	0.80427448332993	1.95548586145001	0	25	R-HSA-9701192
Defective homologous recombination repair (HRR) due to PALB2 loss of function	0.004149377593361	0.0498878284345412	0.80427448332993	1.95548586145001	0	25	R-HSA-9701193
Deposition of new CENPA-containing nucleosomes at the centromere	0.00531914893617021	0.0498878284345412	0.804252674663622	2.20382327194487	0	48	R-HSA-606279
Nucleosome assembly	0.00531914893617021	0.0498878284345412	0.804252674663622	2.20382327194487	0	48	R-HSA-774815
Meiotic recombination	0.00523560209424084	0.0498878284345412	0.802923114272017	2.24104401043719	0	51	R-HSA-912446
SIRT1 negatively regulates rRNA expression	0.00476190476190476	0.0498878284345412	0.79896542541276	1.97599908943218	0	32	R-HSA-427359
Activation of ATR in response to replication stress	0.00469483568075117	0.0498878284345412	0.795777965254718	2.0594982224707	0	37	R-HSA-176187
Condensation of Prophase Chromosomes	0.00485436893203883	0.0498878284345412	0.795672491961708	2.07664098707683	0	38	R-HSA-2299718
Interleukin-2 family signaling	0.00518134715025907	0.0498878284345412	0.794689221162035	2.14644130091411	0	43	R-HSA-451927
