,from,to,score,pair
1,CHUK,AKT1,908,AKT1_CHUK
2,RPS27A,UBA52,999,RPS27A_UBA52
3,MTOR,UBC,802,MTOR_UBC
4,RPS27A,UBC,995,RPS27A_UBC
5,UBA52,UBC,996,UBA52_UBC
6,RPS27A,UBB,994,RPS27A_UBB
7,UBA52,UBB,994,UBA52_UBB
8,UBC,UBB,994,UBB_UBC
9,HLA-DQA1,HLA-DRB1,978,HLA-DQA1_HLA-DRB1
10,HLA-DRB1,HLA-DQA2,901,HLA-DQA2_HLA-DRB1
11,HLA-DQA1,HLA-DQB1,999,HLA-DQA1_HLA-DQB1
12,HLA-DQA2,HLA-DQB1,960,HLA-DQA2_HLA-DQB1
13,HLA-DQA1,HLA-DRB5,720,HLA-DQA1_HLA-DRB5
14,HLA-DRB1,HLA-DRB5,907,HLA-DRB1_HLA-DRB5
15,HLA-DQA2,HLA-DRB5,790,HLA-DQA2_HLA-DRB5
16,HLA-DQB1,HLA-DRB5,706,HLA-DQB1_HLA-DRB5
17,HLA-DRB1,HLA-DRA,999,HLA-DRA_HLA-DRB1
18,HLA-DQA2,HLA-DRA,717,HLA-DQA2_HLA-DRA
19,HLA-DQB1,HLA-DRA,758,HLA-DQB1_HLA-DRA
20,HLA-DRB5,HLA-DRA,995,HLA-DRA_HLA-DRB5
21,HLA-DRB1,HLA-DPA1,936,HLA-DPA1_HLA-DRB1
22,HLA-DQA2,HLA-DPA1,747,HLA-DPA1_HLA-DQA2
23,HLA-DRB5,HLA-DPA1,735,HLA-DPA1_HLA-DRB5
24,HLA-DRA,HLA-DPA1,924,HLA-DPA1_HLA-DRA
25,HLA-DQA1,HLA-DPB1,878,HLA-DPB1_HLA-DQA1
26,HLA-DRB1,HLA-DPB1,909,HLA-DPB1_HLA-DRB1
27,HLA-DQA2,HLA-DPB1,809,HLA-DPB1_HLA-DQA2
28,HLA-DRA,HLA-DPB1,933,HLA-DPB1_HLA-DRA
29,HLA-DPA1,HLA-DPB1,999,HLA-DPA1_HLA-DPB1
30,RPS27A,ZAP70,800,RPS27A_ZAP70
31,UBA52,ZAP70,800,UBA52_ZAP70
32,UBC,ZAP70,800,UBC_ZAP70
33,UBB,ZAP70,800,UBB_ZAP70
34,ZAP70,TRAT1,900,TRAT1_ZAP70
35,ZAP70,CD3D,979,CD3D_ZAP70
36,TRAT1,CD3D,900,CD3D_TRAT1
37,ZAP70,FYN,895,FYN_ZAP70
38,CD3D,FYN,746,CD3D_FYN
39,ZAP70,CD3E,966,CD3E_ZAP70
40,TRAT1,CD3E,900,CD3E_TRAT1
41,CD3D,CD3E,999,CD3D_CD3E
42,FYN,CD3E,909,CD3E_FYN
43,ZAP70,CD247,999,CD247_ZAP70
44,TRAT1,CD247,947,CD247_TRAT1
45,CD3D,CD247,999,CD247_CD3D
46,FYN,CD247,972,CD247_FYN
47,CD3E,CD247,999,CD247_CD3E
48,ZAP70,CD3G,972,CD3G_ZAP70
49,TRAT1,CD3G,900,CD3G_TRAT1
50,CD3D,CD3G,999,CD3D_CD3G
51,CD3E,CD3G,999,CD3E_CD3G
52,CD247,CD3G,999,CD247_CD3G
53,ZAP70,LCK,993,LCK_ZAP70
54,CD3D,LCK,746,CD3D_LCK
55,FYN,LCK,998,FYN_LCK
56,CD3E,LCK,753,CD3E_LCK
57,CD247,LCK,850,CD247_LCK
58,ZAP70,GRB2,986,GRB2_ZAP70
59,FYN,GRB2,971,FYN_GRB2
60,LCK,GRB2,964,GRB2_LCK
61,RPS27A,PSMD4,975,PSMD4_RPS27A
62,UBA52,PSMD4,953,PSMD4_UBA52
63,UBC,PSMD4,958,PSMD4_UBC
64,UBB,PSMD4,965,PSMD4_UBB
65,RPS27A,PSMC4,862,PSMC4_RPS27A
66,UBA52,PSMC4,835,PSMC4_UBA52
67,UBC,PSMC4,898,PSMC4_UBC
68,UBB,PSMC4,871,PSMC4_UBB
69,PSMD4,PSMC4,998,PSMC4_PSMD4
70,RPS27A,PSMD8,862,PSMD8_RPS27A
71,UBA52,PSMD8,835,PSMD8_UBA52
72,UBC,PSMD8,862,PSMD8_UBC
73,UBB,PSMD8,848,PSMD8_UBB
74,PSMD4,PSMD8,998,PSMD4_PSMD8
75,PSMC4,PSMD8,998,PSMC4_PSMD8
76,RPS27A,PSMA3,888,PSMA3_RPS27A
77,UBA52,PSMA3,835,PSMA3_UBA52
78,UBC,PSMA3,849,PSMA3_UBC
79,UBB,PSMA3,848,PSMA3_UBB
80,PSMD4,PSMA3,982,PSMA3_PSMD4
81,PSMC4,PSMA3,968,PSMA3_PSMC4
82,PSMD8,PSMA3,966,PSMA3_PSMD8
83,PSMA3,PSME2,970,PSMA3_PSME2
84,RPS27A,PSMD7,862,PSMD7_RPS27A
85,UBA52,PSMD7,842,PSMD7_UBA52
86,UBC,PSMD7,866,PSMD7_UBC
87,UBB,PSMD7,848,PSMD7_UBB
88,PSMD4,PSMD7,998,PSMD4_PSMD7
89,PSMC4,PSMD7,996,PSMC4_PSMD7
90,PSMD8,PSMD7,999,PSMD7_PSMD8
91,PSMA3,PSMD7,971,PSMA3_PSMD7
92,RPS27A,PSMA2,868,PSMA2_RPS27A
93,UBA52,PSMA2,835,PSMA2_UBA52
94,UBC,PSMA2,848,PSMA2_UBC
95,UBB,PSMA2,906,PSMA2_UBB
96,PSMD4,PSMA2,988,PSMA2_PSMD4
97,PSMC4,PSMA2,986,PSMA2_PSMC4
98,PSMD8,PSMA2,959,PSMA2_PSMD8
99,PSMA3,PSMA2,998,PSMA2_PSMA3
100,PSME2,PSMA2,971,PSMA2_PSME2
101,PSMD7,PSMA2,957,PSMA2_PSMD7
102,RPS27A,PSMB7,876,PSMB7_RPS27A
103,UBA52,PSMB7,826,PSMB7_UBA52
104,UBC,PSMB7,837,PSMB7_UBC
105,UBB,PSMB7,836,PSMB7_UBB
106,PSMD4,PSMB7,964,PSMB7_PSMD4
107,PSMC4,PSMB7,958,PSMB7_PSMC4
108,PSMD8,PSMB7,943,PSMB7_PSMD8
109,PSMA3,PSMB7,997,PSMA3_PSMB7
110,PSME2,PSMB7,929,PSMB7_PSME2
111,PSMD7,PSMB7,962,PSMB7_PSMD7
112,PSMA2,PSMB7,998,PSMA2_PSMB7
113,RPS27A,PSMC1,862,PSMC1_RPS27A
114,UBA52,PSMC1,866,PSMC1_UBA52
115,UBC,PSMC1,880,PSMC1_UBC
116,UBB,PSMC1,866,PSMC1_UBB
117,PSMD4,PSMC1,998,PSMC1_PSMD4
118,PSMC4,PSMC1,998,PSMC1_PSMC4
119,PSMD8,PSMC1,994,PSMC1_PSMD8
120,PSMA3,PSMC1,974,PSMA3_PSMC1
121,PSMD7,PSMC1,997,PSMC1_PSMD7
122,PSMA2,PSMC1,960,PSMA2_PSMC1
123,PSMB7,PSMC1,948,PSMB7_PSMC1
124,RPS27A,PSMA6,922,PSMA6_RPS27A
125,UBA52,PSMA6,864,PSMA6_UBA52
126,UBC,PSMA6,889,PSMA6_UBC
127,UBB,PSMA6,847,PSMA6_UBB
128,PSMD4,PSMA6,983,PSMA6_PSMD4
129,PSMC4,PSMA6,980,PSMA6_PSMC4
130,PSMD8,PSMA6,961,PSMA6_PSMD8
131,PSMA3,PSMA6,999,PSMA3_PSMA6
132,PSME2,PSMA6,953,PSMA6_PSME2
133,PSMD7,PSMA6,957,PSMA6_PSMD7
134,PSMA2,PSMA6,999,PSMA2_PSMA6
135,PSMB7,PSMA6,999,PSMA6_PSMB7
136,PSMC1,PSMA6,958,PSMA6_PSMC1
137,RPS27A,PSMD11,891,PSMD11_RPS27A
138,UBA52,PSMD11,864,PSMD11_UBA52
139,UBC,PSMD11,864,PSMD11_UBC
140,UBB,PSMD11,848,PSMD11_UBB
141,PSMD4,PSMD11,997,PSMD11_PSMD4
142,PSMC4,PSMD11,998,PSMC4_PSMD11
